,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
daucus carota,daucus carota,1460,7.3599853,0.6014819359558251,0.4296520127757805,0.12961296129612962,0.06913988333722557,0.7,2078,3328
daucus carota,daucus carota,1510,7.3599853,0.602283801376232,0.4219267202211021,0.1293800539083558,0.06883534510563089,0.73,2078,3328
daucus carota,daucus carota,1560,7.3599853,0.5908019275575744,0.4076536675505242,0.1289167412712623,0.06874544904996771,0.75,2078,3328
daucus carota,daucus carota,1610,7.3599853,0.5750778935539891,0.3914551921129183,0.1283422459893048,0.06884056406564308,0.77,2078,3328
daucus carota,daucus carota,1660,7.3599853,0.5508843252548868,0.3714347700364459,0.12754650132860937,0.06937089407915739,0.8,2078,3328
daucus carota,daucus carota,1710,7.3599853,0.5255718880889879,0.3516271562221552,0.1266490765171504,0.07027813572607894,0.82,2078,3328
daucus carota,daucus carota,1760,7.3599853,0.5088156437605642,0.3364186525655091,0.12587412587412586,0.07109719847932028,0.85,2078,3328
daucus carota,daucus carota,1810,7.3599853,0.5108208938016776,0.330179081555766,0.12554489973844812,0.07096720043962623,0.87,2078,3328
daucus carota,daucus carota,1860,7.3599853,0.5125385802469136,0.32421976274565156,0.1252173913043478,0.07083638207283559,0.9,2078,3328
daucus carota,daucus carota,1910,7.3599853,0.5021714594170184,0.3135105098887004,0.12456747404844289,0.07145597322405667,0.92,2078,3328
daucus carota,daucus carota,1960,7.3599853,0.4722983425414365,0.2952614169439878,0.12328767123287669,0.0737448378172487,0.94,2078,3328
daucus carota,daucus carota,2010,7.3599853,0.4452486373193473,0.27885916938623384,0.12193056731583403,0.07651496875788354,0.97,2078,3328
daucus carota,daucus carota,2060,4.517055530000004,0.4341157124556562,0.26893762800190385,0.12100840336134454,0.07815030511972128,0.99,2078,3328
glycine max,glycine max,10,2289.67680983446,0.625,0.7,0.5714285714285715,0.4,0.0,2345,3675
glycine max,glycine max,60,741.3202759999999,0.6644880174291938,0.575,0.2608695652173913,0.15,0.03,2345,3675
glycine max,glycine max,110,283.4191038,0.7438016528925621,0.55,0.18181818181818182,0.1,0.05,2345,3675
glycine max,glycine max,160,283.4191038,0.575508607198748,0.55625,0.20224719101123595,0.1125,0.07,2345,3675
glycine max,glycine max,210,247.35936584299992,0.6505924497106642,0.5452380952380952,0.16593886462882096,0.09047619047619047,0.09,2345,3675
glycine max,glycine max,260,154.24426,0.6340718105423988,0.5423076923076923,0.15602836879432627,0.08461538461538462,0.11,2345,3675
glycine max,glycine max,310,154.24426,0.616701754385965,0.5403225806451613,0.1492537313432836,0.08064516129032258,0.13,2345,3675
glycine max,glycine max,360,154.24426,0.6298520742965187,0.5375,0.13953488372093023,0.075,0.15,2345,3675
glycine max,glycine max,410,154.24426,0.5435700876095119,0.5414634146341464,0.15315315315315314,0.08292682926829269,0.17,2345,3675
glycine max,glycine max,460,119.918755,0.5483355696121653,0.5402173913043479,0.14889336016096577,0.08043478260869565,0.2,2345,3675
glycine max,glycine max,510,119.918755,0.5546808510638297,0.5392156862745098,0.14545454545454545,0.0784313725490196,0.22,2345,3675
glycine max,glycine max,560,119.918755,0.5440010570824525,0.5392857142857143,0.1456953642384106,0.07857142857142857,0.24,2345,3675
glycine max,glycine max,610,119.918755,0.5719567354965585,0.5368852459016393,0.13740458015267176,0.07377049180327869,0.26,2345,3675
glycine max,glycine max,660,91.007,0.5489180327868852,0.5378787878787878,0.14084507042253522,0.07575757575757576,0.28,2345,3675
glycine max,glycine max,710,42.087112,0.5716028444761819,0.5359154929577464,0.13403416557161632,0.07183098591549296,0.3,2345,3675
glycine max,glycine max,760,42.087112,0.5574468085106383,0.5361842105263158,0.13496932515337423,0.07236842105263158,0.32,2345,3675
glycine max,glycine max,810,42.087112,0.5485341578460359,0.5364197530864198,0.13578826237054084,0.0728395061728395,0.35,2345,3675
glycine max,glycine max,860,30.1229922,0.5479828603767483,0.536046511627907,0.1344902386117137,0.07209302325581396,0.37,2345,3675
glycine max,glycine max,910,30.1229922,0.5650943573021494,0.5346153846153846,0.12949640287769784,0.06923076923076923,0.39,2345,3675
glycine max,glycine max,960,30.1229922,0.5711216158143533,0.5338541666666666,0.12682926829268293,0.06770833333333333,0.41,2345,3675
glycine max,glycine max,1010,30.1229922,0.5598345885505706,0.5341584158415842,0.1278962001853568,0.06831683168316832,0.43,2345,3675
glycine max,glycine max,1060,30.1229922,0.5498119387655964,0.534433962264151,0.12886142983230361,0.06886792452830189,0.45,2345,3675
glycine max,glycine max,1110,30.1229922,0.5635174266931022,0.5333333333333333,0.125,0.06666666666666667,0.47,2345,3675
glycine max,glycine max,1160,30.1229922,0.5683931345892406,0.533129904097646,0.12428454619787407,0.06625980819529206,0.49,2345,3675
