,average,experiment,inchi key,inchi_keys,mass,no_reactions,plant,sum,sum_class
prunus persica,7.2170105,0.0,UQJFZAAGZAYVKZ,{'UQJFZAAGZAYVKZ-CERMHHMHSA-L'},242.12,1.0,prunus persica,7.2170105,1.0
prunus persica,-0.18149834350000005,0.0,NJMGRJLQRLFQQX,"{'NJMGRJLQRLFQQX-HYXAFXHYSA-L', 'NJMGRJLQRLFQQX-HWKANZROSA-N'}",156.14,4.0,prunus persica,-0.7259933740000001,0.0
prunus persica,0.22194841111111108,0.0,HHDDCCUIIUWNGJ,"{'HHDDCCUIIUWNGJ-UHFFFAOYSA-N', 'HHDDCCUIIUWNGJ-UHFFFAOYSA-M'}",103.05,9.0,prunus persica,1.9975357000000002,1.0
prunus persica,-16.344994,0.0,GZIFEOYASATJEH,{'GZIFEOYASATJEH-VHFRWLAGSA-N'},402.7,2.0,prunus persica,-32.689988,0.0
prunus persica,-0.6306442250000001,1.0,FBPFZTCFMRRESA,"{'FBPFZTCFMRRESA-KVTDHHQDSA-N', 'FBPFZTCFMRRESA-UHFFFAOYSA-N', 'FBPFZTCFMRRESA-GUCUJZIJSA-N', 'FBPFZTCFMRRESA-ZXXMMSQZSA-N', 'FBPFZTCFMRRESA-UNTFVMJOSA-N', 'FBPFZTCFMRRESA-JGWLITMVSA-N'}",182.17,8.0,prunus persica,-5.0451538000000005,0.0
prunus persica,282.1,0.0,LLVVMXFNKAHVEZ,{'LLVVMXFNKAHVEZ-KMBKDFKYSA-N'},352.25,1.0,prunus persica,282.1,1.0
prunus persica,-3.092539466666667,0.0,UUPDCCPAOMDMPT,"{'UUPDCCPAOMDMPT-MTQUCLQASA-N', 'UUPDCCPAOMDMPT-GIHYWFGSSA-N'}",381.38,3.0,prunus persica,-9.277618400000001,0.0
prunus persica,85.03476,0.0,ZZAJQOPSWWVMBI,{'ZZAJQOPSWWVMBI-UHFFFAOYSA-N'},284.26,1.0,prunus persica,85.03476,1.0
prunus persica,-6.551758,0.0,DZWLQKNUQNGEPR,{'DZWLQKNUQNGEPR-HMUNZLOLSA-N'},299.28,1.0,prunus persica,-6.551758,0.0
prunus persica,83.674805,0.0,HZKBHRZARZUXPO,{'HZKBHRZARZUXPO-JLBYXMBLSA-N'},774.1,1.0,prunus persica,83.674805,1.0
prunus persica,14.397003,0.0,PVEOYINWKBTPIZ,{'PVEOYINWKBTPIZ-UHFFFAOYSA-M'},85.08,1.0,prunus persica,14.397003,1.0
prunus persica,3.8300044,0.0,WBFYVDCHGVNRBH,"{'WBFYVDCHGVNRBH-UHFFFAOYSA-M', 'WBFYVDCHGVNRBH-UHFFFAOYSA-N'}",314.3,5.0,prunus persica,19.150021999999996,1.0
prunus persica,11.5809785,0.0,JSRLJPSBLDHEIO,"{'JSRLJPSBLDHEIO-SHYZEUOFSA-L', 'JSRLJPSBLDHEIO-SHYZEUOFSA-N'}",306.17,10.0,prunus persica,115.80978499999999,1.0
prunus persica,1.3512084999999998,0.0,MUUFJLJGMRBUTO,{'MUUFJLJGMRBUTO-UHFFFAOYSA-K'},459.3,2.0,prunus persica,2.7024169999999996,1.0
prunus persica,-227.50732,0.0,KORLZEIJSHHTDW,{'KORLZEIJSHHTDW-YFKPBYRVSA-N'},176.17,1.0,prunus persica,-227.50732,0.0
prunus persica,-5.872391444444444,0.0,UPHPWXPNZIOZJL,"{'UPHPWXPNZIOZJL-KXXVROSKSA-A', 'UPHPWXPNZIOZJL-PTQMNWPWSA-B', 'UPHPWXPNZIOZJL-KXXVROSKSA-N', 'UPHPWXPNZIOZJL-UOTPTPDRSA-N', 'UPHPWXPNZIOZJL-UOTPTPDRSA-A'}",726.913,9.0,prunus persica,-52.851523,0.0
prunus persica,-16.956995,0.0,CGIHPACLZJDCBQ,{'CGIHPACLZJDCBQ-UHFFFAOYSA-N'},196.3,1.0,prunus persica,-16.956995,0.0
prunus persica,-69.80798634285715,0.0,IPCSVZSSVZVIGE,"{'IPCSVZSSVZVIGE-UHFFFAOYSA-M', 'IPCSVZSSVZVIGE-UHFFFAOYSA-N'}",255.42,7.0,prunus persica,-488.6559044,0.0
prunus persica,148.59702,0.0,GYJUUWJKEUIYPF,{'GYJUUWJKEUIYPF-GGWOSOGESA-N'},162.3,1.0,prunus persica,148.59702,1.0
prunus persica,14.977753,1.0,QQHJDPROMQRDLA,{'QQHJDPROMQRDLA-UHFFFAOYSA-L'},284.39,1.0,prunus persica,14.977753,1.0
prunus persica,-3.1765137,0.0,GEFJKNBTBQBFOH,{'GEFJKNBTBQBFOH-WFASDCNBSA-N'},274.27,1.0,prunus persica,-3.1765137,0.0
prunus persica,-7.330679866666666,0.0,DMZOKBALNZWDKI,"{'DMZOKBALNZWDKI-MATMFAIHSA-J', 'DMZOKBALNZWDKI-AZKRPDILSA-N'}",913.7,24.0,prunus persica,-175.9363168,0.0
prunus persica,-6.897583,1.0,QJVXKWHHAMZTBY,{'QJVXKWHHAMZTBY-GCPOEHJPSA-N'},372.4,1.0,prunus persica,-6.897583,0.0
prunus persica,0.6857235749999999,0.0,VDYDCVUWILIYQF,"{'VDYDCVUWILIYQF-CSMHCCOUSA-N', 'VDYDCVUWILIYQF-CSMHCCOUSA-M'}",378.38,4.0,prunus persica,2.7428942999999997,1.0
prunus persica,0.0,0.0,LUEWUZLMQUOBSB,{'LUEWUZLMQUOBSB-AYQJAVFRSA-N'},666.6,1.0,prunus persica,0.0,0.0
prunus persica,0.9010692461538461,1.0,INAPMGSXUVUWAF,"{'INAPMGSXUVUWAF-CNWJWELYSA-L', 'INAPMGSXUVUWAF-UOTPTPDRSA-N', 'INAPMGSXUVUWAF-CNWJWELYSA-N', 'INAPMGSXUVUWAF-PTQMNWPWSA-L', 'INAPMGSXUVUWAF-PTQMNWPWSA-N'}",259.0,13.0,prunus persica,11.713900200000001,1.0
prunus persica,-32.553875000000005,0.0,AYKYOOPFBCOXSL,{'AYKYOOPFBCOXSL-UHFFFAOYSA-N'},133.15,2.0,prunus persica,-65.10775000000001,0.0
prunus persica,0.14823695645085716,0.0,XWTGDGASXRARSP,{'XWTGDGASXRARSP-HMUNZLOLSA-N'},300.26,7.0,prunus persica,1.037658695156,1.0
prunus persica,-3.3099976,0.0,NADYXSLNKYUEBU,{'NADYXSLNKYUEBU-VWLHBSKXSA-O'},372.4,1.0,prunus persica,-3.3099976,0.0
prunus persica,2.4770126,0.0,OZOHTVFCSKFMLL,{'OZOHTVFCSKFMLL-UHFFFAOYSA-O'},139.18,1.0,prunus persica,2.4770126,1.0
prunus persica,-7.9473088,0.0,VDXLUNDMVKSKHO,"{'VDXLUNDMVKSKHO-XVFCMESISA-N', 'VDXLUNDMVKSKHO-XVFCMESISA-L'}",312.17,5.0,prunus persica,-39.736543999999995,0.0
prunus persica,-4.89,0.0,YUGMCLJIWGEKCK,{'YUGMCLJIWGEKCK-UHFFFAOYSA-N'},168.15,1.0,prunus persica,-4.89,0.0
prunus persica,1.9099999999827588e-05,0.0,ZIIAJIWLQUVGHB,{'ZIIAJIWLQUVGHB-UHFFFAOYSA-N'},314.29,2.0,prunus persica,3.8199999999655176e-05,1.0
prunus persica,1.2099609999999998,0.0,AVSXSVCZWQODGV,{'AVSXSVCZWQODGV-DPAQBDIFSA-N'},384.6,2.0,prunus persica,2.4199219999999997,1.0
prunus persica,-6.00707175,0.0,ZLIGRGHTISHYNH,{'ZLIGRGHTISHYNH-WUXMJOGZSA-N'},174.2,2.0,prunus persica,-12.0141435,0.0
prunus persica,-17.9892772,0.0,FMFAICDKESPFNH,"{'FMFAICDKESPFNH-NQMBQAPESA-N', 'FMFAICDKESPFNH-QXZYODRQSA-N'}",414.7,5.0,prunus persica,-89.94638599999999,0.0
prunus persica,57.8931618,0.0,DOUMFZQKYFQNTF,{'DOUMFZQKYFQNTF-WUTVXBCWSA-M'},359.3,3.0,prunus persica,173.6794854,1.0
prunus persica,0.851176685882353,1.0,NBSCHQHZLSJFNQ,"{'NBSCHQHZLSJFNQ-PHYPRBDBSA-L', 'NBSCHQHZLSJFNQ-IVMDWMLBSA-N', 'NBSCHQHZLSJFNQ-GASJEMHNSA-N', 'NBSCHQHZLSJFNQ-IHVYINHVSA-N', 'NBSCHQHZLSJFNQ-DVKNGEFBSA-N', 'NBSCHQHZLSJFNQ-UHFFFAOYSA-N', 'NBSCHQHZLSJFNQ-DVKNGEFBSA-L', 'NBSCHQHZLSJFNQ-VFUOTHLCSA-N', 'NBSCHQHZLSJFNQ-RWOPYEJCSA-L', 'NBSCHQHZLSJFNQ-QTVWNMPRSA-N'}",260.14,34.0,prunus persica,28.94000732,1.0
prunus persica,-72.134735,0.0,FRJSECSOXKQMOD,{'FRJSECSOXKQMOD-HQRMLTQVSA-N'},272.5,1.0,prunus persica,-72.134735,0.0
prunus persica,-1.8923645,0.0,LQVOUPXXRIMQIM,{'LQVOUPXXRIMQIM-UHFFFAOYSA-N'},165.3,1.0,prunus persica,-1.8923645,0.0
prunus persica,-0.4150543500000001,0.0,AJFKXWQDHFYKFK,{'AJFKXWQDHFYKFK-UPHRSURJSA-N'},146.1,2.0,prunus persica,-0.8301087000000003,0.0
prunus persica,4.597643166666667,0.0,ALYNCZNDIQEVRV,"{'ALYNCZNDIQEVRV-UHFFFAOYSA-M', 'ALYNCZNDIQEVRV-UHFFFAOYSA-N'}",136.13,6.0,prunus persica,27.585859000000003,1.0
prunus persica,84.680115,0.0,UBTNVRPIHJRBCI,{'UBTNVRPIHJRBCI-LUXGDSJYSA-N'},258.4,1.0,prunus persica,84.680115,1.0
prunus persica,4.556579500000001,0.0,JSYDBTWJIIAZPU,{'JSYDBTWJIIAZPU-NEVABJEQSA-O'},889.8,2.0,prunus persica,9.113159000000001,1.0
prunus persica,1.8654265000000003,0.0,GHOKWGTUZJEAQD,"{'GHOKWGTUZJEAQD-ZETCQYMHSA-M', 'GHOKWGTUZJEAQD-ZETCQYMHSA-N'}",218.23,4.0,prunus persica,7.461706000000001,1.0
prunus persica,-30.3357088,1.0,KDXKERNSBIXSRK,"{'KDXKERNSBIXSRK-YFKPBYRVSA-N', 'KDXKERNSBIXSRK-RXMQYKEDSA-O', 'KDXKERNSBIXSRK-YFKPBYRVSA-O'}",146.19,8.0,prunus persica,-242.68567040000002,0.0
prunus persica,66.257,1.0,QEFRNWWLZKMPFJ,"{'QEFRNWWLZKMPFJ-MFXDVPHUSA-N', 'QEFRNWWLZKMPFJ-ZXPFJRLXSA-N'}",165.21,2.0,prunus persica,132.514,1.0
prunus persica,4.5176086,0.0,QANMHLXAZMSUEX,{'QANMHLXAZMSUEX-UHFFFAOYSA-N'},215.21,2.0,prunus persica,9.0352172,1.0
prunus persica,-25.707400000000003,0.0,QOCWWAJCODFCIV,{'QOCWWAJCODFCIV-OSTDEYQUSA-N'},755.1,3.0,prunus persica,-77.1222,0.0
prunus persica,-45.7911759,0.0,GVECSFFLZYNEBO,"{'GVECSFFLZYNEBO-PDXJTRCTSA-N', 'GVECSFFLZYNEBO-PDXJTRCTSA-M'}",319.29,4.0,prunus persica,-183.1647036,0.0
prunus persica,-6.897644,0.0,IEGFOTASSBZIBZ,{'IEGFOTASSBZIBZ-QLPUMLPOSA-N'},448.5,1.0,prunus persica,-6.897644,0.0
prunus persica,-20.330078,0.0,AONILRCSLAIOQE,{'AONILRCSLAIOQE-KISRQWFGSA-L'},528.3,1.0,prunus persica,-20.330078,0.0
prunus persica,25.191774749999997,0.0,OCLCLRXKNJCOJD,"{'OCLCLRXKNJCOJD-UMMCILCDSA-L', 'OCLCLRXKNJCOJD-UMMCILCDSA-N'}",353.23,4.0,prunus persica,100.76709899999999,1.0
prunus persica,-8.555,0.0,HVRNKDVLFAVCJF,"{'HVRNKDVLFAVCJF-VJANTYMQSA-J', 'HVRNKDVLFAVCJF-VJANTYMQSA-N'}",713.7,2.0,prunus persica,-17.11,0.0
prunus persica,35.4233245,0.0,XDSSPSLGNGIIHP,{'XDSSPSLGNGIIHP-VKHMYHEASA-N'},182.09,2.0,prunus persica,70.846649,1.0
prunus persica,2.1300000000000003,0.0,HIVSMYZAMUNFKZ,{'HIVSMYZAMUNFKZ-FHRNIPIGSA-N'},937.8,2.0,prunus persica,4.260000000000001,1.0
prunus persica,5.9264526,0.0,XXBSUZSONOQQGK,{'XXBSUZSONOQQGK-FLRLBIABSA-N'},148.11,1.0,prunus persica,5.9264526,1.0
prunus persica,3.636763375,0.0,HLKXYZVTANABHZ,"{'HLKXYZVTANABHZ-REOHCLBHSA-N', 'HLKXYZVTANABHZ-REOHCLBHSA-L'}",174.11,4.0,prunus persica,14.547053500000002,1.0
prunus persica,-14.663244225,0.0,HGXBRUKMWQGOIE,"{'HGXBRUKMWQGOIE-AFHBHXEDSA-N', 'HGXBRUKMWQGOIE-NSMLZSOPSA-N'}",358.4,4.0,prunus persica,-58.6529769,0.0
prunus persica,-8.302353,0.0,OQIIYZQTTMKFAU,{'OQIIYZQTTMKFAU-ZNLOQLQNSA-G'},857.8,3.0,prunus persica,-24.907059000000004,0.0
prunus persica,-3.4699935,0.0,AQTZWMJGAOIWFV,{'AQTZWMJGAOIWFV-VKWYCSODSA-N'},360.4,2.0,prunus persica,-6.939987,0.0
prunus persica,41.0121875,0.0,MPUUQNGXJSEWTF,{'MPUUQNGXJSEWTF-BYPYZUCNSA-N'},131.13,2.0,prunus persica,82.024375,1.0
prunus persica,2.8483773749999997,0.0,RQRINYISXYAZKL,"{'RQRINYISXYAZKL-RPDRRWSUSA-L', 'RQRINYISXYAZKL-RPDRRWSUSA-N'}",354.21,4.0,prunus persica,11.3935095,1.0
prunus persica,2.4084592928,1.0,DTBNBXWJWCWCIK,"{'DTBNBXWJWCWCIK-UHFFFAOYSA-K', 'DTBNBXWJWCWCIK-UHFFFAOYSA-N'}",165.02,25.0,prunus persica,60.21148231999997,1.0
prunus persica,-12.711731,0.0,BNWKMHUFFKDAMV,{'BNWKMHUFFKDAMV-UHFFFAOYSA-M'},215.31,1.0,prunus persica,-12.711731,0.0
prunus persica,-7.582945000000002,0.0,CNIUEVQJABPUIJ,{'CNIUEVQJABPUIJ-QMMMGPOBSA-M'},196.18,2.0,prunus persica,-15.165890000000005,0.0
prunus persica,-5.488525000000003,0.0,NLRBCQBDLKXHQX,{'NLRBCQBDLKXHQX-OKTBDYBISA-N'},442.7,2.0,prunus persica,-10.977050000000006,0.0
prunus persica,4.678192,0.0,MATGKVZWFZHCLI,{'MATGKVZWFZHCLI-LSDHHAIUSA-N'},358.4,1.0,prunus persica,4.678192,1.0
prunus persica,-19.2156185,0.0,DHCDFWKWKRSZHF,{'DHCDFWKWKRSZHF-UHFFFAOYSA-M'},113.14,2.0,prunus persica,-38.431237,0.0
